Pontuação de otimização,Nome da campanha
"65,5%",[PESQUISA][JULHO25] Campanha Gramado
"65,8%",[PESQUISA][JULHO25] Campanha Canela
"81,2%",[TURIS][OUT] Aluguel - Gramado e Canela
"89,7%",[TURIS] Campanha Porto Alegre
