Sexo,Faixa de idade,Impressões,Porcentagem do total conhecido
Masculino,18 a 24,1.736,"4,77%"
Masculino,25 a 34,3.834,"10,54%"
Masculino,35 a 44,3.869,"10,63%"
Masculino,45 a 54,2.715,"7,46%"
Masculino,55 a 64,1.628,"4,47%"
Masculino,+65,920,"2,53%"
Feminino,18 a 24,2.921,"8,03%"
Feminino,25 a 34,5.628,"15,47%"
Feminino,35 a 44,6.050,"16,63%"
Feminino,45 a 54,3.642,"10,01%"
Feminino,55 a 64,2.451,"6,74%"
Feminino,+65,988,"2,72%"
