Dispositivo,Custo,Impressões,Cliques
Computadores,"R$ 589,73",7.710,868
Smartphones,"R$ 3.070,44",39.405,4.564
Tablets,"R$ 22,55",400,46
Telas de TV,"R$ 0,00",0,0
