Hora de início,Impressões
00,1.484
01,890
02,505
03,292
04,244
05,273
06,483
07,967
08,1.643
09,2.442
10,2.893
11,3.105
12,3.036
13,3.178
14,3.064
15,2.839
16,3.055
17,2.640
18,2.524
19,2.708
20,2.977
21,2.569
22,2.250
23,1.454
